M3U Channel,method,tvg-id
LALIGA 1 BEIN 3,BOLA_NO_EPG,internal_40af25a8
LALIGA 2 SKY 21,BOLA_NO_EPG,internal_f0591146
LALIGA 3 CANALE 5,BOLA_NO_EPG,internal_465e6497
LALIGA 4 SKY 16,BOLA_NO_EPG,internal_c16cb072
LIGA PRANCIS 1,BOLA_NO_EPG,internal_0d98ed76
BUNDESLIGA 1 SOCCER,BOLA_NO_EPG,internal_396d1ae1
BUNDESLIGA 2 SKY 24,BOLA_NO_EPG,internal_3f530f5a
SERIE A 1 PLUTO,BOLA_NO_EPG,internal_8286c8ed
SERIE A 2 SPORT 1,BOLA_NO_EPG,internal_13efdf80
SERIE A 3 SPORT 2,BOLA_NO_EPG,internal_0dcf0062
CHAMPIONS 1 BEIN 1,BOLA_NO_EPG,internal_959a2c1f
CHAMPIONS 2 BEIN 3,BOLA_NO_EPG,internal_3131aae4
CHAMPIONS 3 BEIN 4,BOLA_NO_EPG,internal_add312b7
CHAMPIONS 4 BEIN 5,BOLA_NO_EPG,internal_aee2feec
CHAMPIONS 5 TNT 1,BOLA_NO_EPG,internal_69e48a83
CHAMPIONS 6 TNT 3,BOLA_NO_EPG,internal_b31f6e58
CHAMPIONS 7 TNT 4,BOLA_NO_EPG,internal_241efaaa
LIGA SUPER MALAYSIA⁽ˢᵉʳᵛᵉʳ ¹⁾,BOLA_NO_EPG,internal_db031068
LIGA 1 THAILAND⁽ˢᵉʳᵛᵉʳ ¹⁾,BOLA_NO_EPG,internal_1485a96e
LIGA 1 THAILAND⁽ˢᵉʳᵛᵉʳ ²⁾,BOLA_NO_EPG,internal_27e9061e
UCL EVENT,BOLA_NO_EPG,internal_d17f1da3
SOCCER CHANNEL,BOLA_NO_EPG,internal_31ad239f
PREMIER 1,BOLA_NO_EPG,internal_4ac12d4a
BEIN SPORTS 1 LALIGA,BOLA_NO_EPG,internal_46a89644
BEIN SPORTS 2 SERIE A,BOLA_NO_EPG,internal_dd4d02e0
BEIN SPORTS 3 BUNDES LIGA,BOLA_NO_EPG,internal_08ca11a3
TNT SPORTS 1,BOLA_NO_EPG,internal_519e5f38
TNT SPORTS 2,BOLA_NO_EPG,internal_1b7fce1c
SKY SPORTS+,BOLA_NO_EPG,internal_d33bfec3
SKY SPORTS EPL,BOLA_NO_EPG,internal_27b90b89
SKY SPORTS MOTO GP,BOLA_NO_EPG,internal_fc80bed8
SKY SPORTS F1,BOLA_NO_EPG,internal_3812e580
