M3U Channel,assigned tvg-id
NOVA SPORT 2,internal_7ae216e3
SPORT 1 SK,internal_c458a6cb
SPORT 2 SK,internal_0d052d98
FOX SPORTS,internal_b5b99e75
FOX SPORTS 2,internal_d632a345
FOX SPORTS 3,internal_6f142cd9
FS PREMIUM,internal_804a17df
FUBO SPORTS 1,internal_0a89ad62
FUBO SPORTS 2,internal_2dc9554d
CAZE TV 1,internal_b387484c
CAZE TV 2,internal_ba5ec393
CAZE TV 3,internal_f8d1ffb5
CAZE TV 4,internal_817fe32e
STAR SPORTS 1 HD,internal_ae1d2fd0
STAR SPORTS 2 HD,internal_05da74a8
STAR SPORTS SELECT 1 HD,internal_c2b786f8
UAAP VARSITY,internal_be221e5b
MUTV FHD,internal_e37c3077
REAL MADRID TV EN,internal_3efa06da
"group-title=""SPORTS"", NBA PHILIPPINES",internal_4ec0c9fb
REDBULL TV,internal_27fdeadf
MOTORVISION TV,internal_831dac76
IMPACT! WRESTLING,internal_4274b8df
BELLATOR MMA,internal_28690802
GLORY KICKBOXING,internal_0f25f657
BOXING TV,internal_f84da20c
BILLIYARD TV,internal_995e0543
FANCODE TV 1,internal_65a8642c
FANCODE TV 2,internal_9bac7566
FIGHT NETWORK,internal_560d598f
WWE NETWORK,internal_d229403c
SPORTSTARS 1 HD,internal_894d0384
SPORTSTARS 2 BC,internal_a234d52d
SPORTSTARS 2 HD,internal_9aaa92f9
SPORTSTARS 3 HD,internal_34aa6072
SPORTSTARS 4 HD,internal_338abcfd
VOLI TV,internal_bf4590f6
CTV 1,internal_5123c322
CTV 2,internal_6ac5276b
CTV 3,internal_38d33faa
CTV 5,internal_de8fa04e
CTV 6,internal_3292c79d
CTV 1 A,internal_780ef940
CTV 2 A,internal_8d27aa1f
CTV 3 A,internal_9da83482
CTV 5 A,internal_2a4e061a
CTV 6 A,internal_0a7351f7
MAXSPORT 4 HD,internal_f79d70d0
"group-title=""SPORTS"",ZIGGO SPORT 1 FHD",internal_50112332
"group-title=""SPORTS"",ZIGGO SPORT 2 FHD",internal_c1a4a8e2
"group-title=""SPORTS"",ZIGGO SPORT 3 FHD",internal_af814b21
"group-title=""SPORTS"",ZIGGO SPORT 4 FHD",internal_17939f73
"group-title=""SPORTS"",ZIGGO SPORT 5 FHD",internal_4c82d306
ESPN,internal_7b0ef842
ESPN 2,internal_7a39b11b
ESPN 3,internal_f1d1cbf7
ESPN 4,internal_c8f0857f
ESPN 5,internal_7fe93099
ESPN 6,internal_66968f90
ESPN 7,internal_3c780fd2
ESPN MX,internal_60263da4
ESPN 2 MX,internal_669b87ed
ESPN 3 MX,internal_cf9b2fe1
TUDN,internal_f5961d06
ESPN CO,internal_76aa05ec
ESPN 2 CO,internal_973f0d63
ESPN 3 CO,internal_40c85180
ESPN 4 CO,internal_8dc07ac6
ESPN 5 CO,internal_42e04e4e
ESPN 6 CO,internal_171df2d8
ESPN 7 CO,internal_2310b1b6
ESPN 4 LATIN AMERICA,internal_ffc1be5e
ESPN 5 LATIN AMERICA,internal_323140dc
ESPN 6 LATIN AMERICA,internal_bafcb4c0
ESPN 7 LATIN AMERICA,internal_53af5662
SBS SPORTS,internal_e4572502
SBS SPORTS 1,internal_8d092325
KOVO LIVE 1,internal_2e088ecf
KOVO LIVE 2,internal_f510d632
KOVO LIVE 3,internal_8c92d6e4
KOVO LIVE 4,internal_6f55c594
KOVO LIVE 5,internal_003c1c8a
J SPORTS 1,internal_3aa58108
J SPORTS 2,internal_d056f149
J SPORTS 3,internal_66d0b499
J SPORTS 4,internal_cb96423b
PRIMA SPORTS 1,internal_8a1a14a4
PRIMA SPORTS 2,internal_1ff546d3
PRIMA SPORTS 3,internal_0d1fcd00
PRIMA SPORTS 4,internal_e0a40773
PEACOCK TV,internal_f6cc8ad0
PEACOCK TV T,internal_8ef8eb3e
DAZN 1 IP,internal_f38a6b49
DAZN 2 IP,internal_727fdb7d
DAZN 3 IP,internal_12446e18
DAZN 4 IP,internal_797fe8d4
DAZN 5 IP,internal_5790c498
DAZN 6 IP,internal_6e9bcfdc
DAZN F1 IP,internal_f624be60
EUROSPORT 1 IP,internal_18f1a7ba
EUROSPORT 2 IP,internal_bb17eeec
EUROSPORT 1,internal_c0dc04b2
EUROSPORT 2,internal_0d06e7da
EUROSPORT ASIA,internal_68d652d4
DAZN 1 ES,internal_eb8b0ad7
DAZN 2 ES,internal_de699d92
DAZN 3 ES,internal_06d3fd14
DAZN 4 ES,internal_8e84b216
DAZN F1,internal_2fcc226b
DAZN COMBAT,internal_538d0ac9
DAZN FAST+,internal_3ec887a2
DAZN 1 DE,internal_63c116ae
DAZN HELDINNEN,internal_e75c7a8c
DAZN RINGSIDE,internal_e947f879
DIGI SPORT 1,internal_2651567b
DIGI SPORT 2,internal_6802b89d
DIGI SPORT 3,internal_04dcbcf2
DIGI SPORT 4,internal_e4504f0b
SPORTDIGITAL,internal_9575368f
DAZN 1,internal_cf9f9b2d
GO3 SPORT 1,internal_22568781
GO3 SPORT 2,internal_435592c3
GO3 SPORT 3,internal_06d1afb1
GO3 SPORT EXTRA 1,internal_1ab6397b
GO3 SPORT EXTRA 2,internal_aa2f117e
GO3 SPORT EXTRA 5,internal_bc1e2d5b
GO3 SPORT EXTRA 6,internal_fe185137
GO3 SPORT EXTRA 7,internal_ed2e9217
GO3 SPORT EXTRA 14,internal_52191bb7
VIAPLAY SPORT PREMIUM 0TT,internal_aab050be
VIAPLAY SPORT OTT,internal_aefc49b8
DUBAI SPORTS 1,internal_62d8d9fa
DUBAI SPORTS 2,internal_283d43ff
DUBAI SPORTS 3,internal_3d81a69d
SSC 1,internal_392cb211
SSC 2,internal_57eb3b3c
SSC 3,internal_3043b639
SSC 4,internal_978b7cd4
SSC 5,internal_2bbaf059
SSC EXTRA 1,internal_584e84c7
SSC EXTRA 2,internal_bec08ba3
SSC EXTRA 3,internal_45878e45
TEN SPORTS HD,internal_b8d4511b
SONY TEN 1 HD,internal_39b6779f
SONY TEN 2 HD,internal_301c6e0b
SONY TEN 3 HD,internal_e5bb23f0
SONY TEN 4 HD,internal_cd3a8802
SONY TEN 5 HD,internal_b12f6432
INDOSIAR|BSL⁽ˢᵉʳᵛᵉʳ ³⁾,internal_54b98f4a
INDOSIAR|BSL⁽ᴺᵉʷ⁻ˢᵉʳᵛᵉʳ ᶠᴴᴰ⁾,internal_0a5efcf7
WORLD CUP U17 2025⁽ˢᵉʳᵛᵉʳ ¹⁾,internal_ee2a29e7
AFC LEAGUE TWO⁽ˢᵉʳᵛᵉʳ ¹⁾,internal_0cb2c058
AFC LEAGUE TWO⁽ˢᵉʳᵛᵉʳ ²⁾,internal_eed7f877
AFC LEAGUE TWO⁽ˢᵉʳᵛᵉʳ ³⁾,internal_d7c8c194
AFC LEAGUE ELITE⁽ˢᵉʳᵛᵉʳ ¹⁾,internal_9195ed64
M LIVE EVENT,internal_2bc3a2f8
SPORTSTARS,internal_094893bb
SPORTSTARS 2,internal_98d02ff4
TV2 SPORT,internal_2aaef1bf
ASTRO BADMINTONᴴᴰ,internal_9253ed8b
KBSN SPORTS,internal_eb78c120
MOJI SPORT ᴴᴰ,internal_e54257b2
EVENT LIVOLI,internal_76d2f275
1-LIVE EVENT,internal_613e4fc3
STAR SPORT 1,internal_68a665fb
FUBO SPORTS,internal_ae3dcb4f
DIGI SPORT 4,internal_e4504f0b
NOVA SPORT 4,internal_935f4a6f
ZIGGO SPORT 2,internal_e353c2ce
SPORTS 2,internal_6de8b95b
ABU DHABI SPORTS,internal_a9ff3408
SPOT TV,internal_f15d076d
SPOT TV 2,internal_2c479798
PRIMA SPORT 5,internal_a9929ea8
SONY SPORTS 2,internal_3526a605
SONY SPORTS 3,internal_c33d1554
